id. Response ID;submitdate. Date submitted;Month Year[subm...Date submitted];Month[Month Yea...ate submitted]];Year[Month Year...ate submitted]];lastpage. Last page;Carmain;Previous PHEVs;Previous BEVs;Previous HEVs;Previous CNGs;Household Income;Importance of reducing greenhouse gas emissions (-3 not important, 3 important);Home ownership (own 1);Home Type (detached 1);Highest Level of Education;Longest trip in the last 12 months;Number of trips over 200 miles in the last 12 months;One-way commute distance;Number of people in the household;Age;Gender (Male 1);Number of vehicles in the household;Annual VMT Estimate ;FCV, BEV Dummy
FCV_1_3;02.06.2017 11:30;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;275000;2,52;1;1;3;483,14;0;0,01;2;65;0;2;14622;0
FCV_1_4;02.06.2017 11:15;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;275000;2,76;1;1;4;568,09;1;10,69;3;65;0;3;9197,142857;0
FCV_1_2;02.06.2017 10:51;Jun 17;6;2017;42;2016 Toyota Mirai;1;1;0;0;;;1;1;4;398,57;0;9,39;5;55;1;4;15360;0
FCV_1_5;;;;;;;;;;;;;;;;;;;;;;1;;
FCV_1_15;02.06.2017 19:35;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;125000;2,6;1;1;2;255,16;0;17,63;2;55;0;3;5082,352941;0
FCV_1_8;06.06.2017 12:11;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;175000;1,23;1;1;4;312,78;1;3,53;2;75;0;2;13025,45455;0
FCV_1_10;;;;;0;;;;;;;;;;;;;;;;;1;;
FCV_1_11;02.06.2017 15:57;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;500000;1,08;1;1;2;125,79;1;28,05;3;45;0;3;18000;0
FCV_1_14;02.06.2017 18:51;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,44;1;1;3;118,02;0;13,35;4;45;0;2;13224;0
FCV_1_16;03.06.2017 11:05;Jun 17;6;2017;42;2017 Honda Clarity;1;0;1;0;225000;1,44;1;1;3;111,87;1;34,77;4;45;0;3;16080;0
FCV_1_17;02.06.2017 22:14;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;125000;0,85;1;1;3;331,73;0;32,65;2;35;0;2;18600;0
FCV_1_18;02.06.2017 22:39;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;1;0;175000;2,65;1;0;4;;0;23,41;2;65;0;2;12040;0
FCV_1_19;03.06.2017 08:40;Jun 17;6;2017;42;2017 Honda Clarity;0;1;0;0;175000;2,76;1;1;4;138,6;2;4,42;4;45;0;2;17000;0
FCV_1_20;03.06.2017 07:35;Jun 17;6;2017;42;2016 Honda Clarity;;;;;;;;;;;;;;;;1;;0
FCV_1_21;;;;;20;2017 Toyota Mirai;0;0;0;0;;;;;;;;8,15;5;;;4;;0
FCV_1_22;06.06.2017 12:49;Jun 17;6;2017;42;1915 Hyundai Tuscon;0;0;1;0;75000;2,6;1;1;4;;0;;3;75;0;4;14672,86957;0
FCV_1_23;04.06.2017 12:04;Jun 17;6;2017;42;2016 Hyundai Tuscon FCV;0;0;1;0;75000;-1,74;1;1;3;104,29;1;10,86;1;65;0;1;6770,769231;0
FCV_1_24;30.06.2017 09:27;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;1;0;275000;-2,86;1;1;4;161,04;2;5,71;2;65;0;2;10200;0
FCV_1_25;05.07.2017 22:19;Jul 17;7;2017;42;2016 Toyota Mirai;1;0;1;0;;1,58;1;1;4;545,88;0;20,63;3;55;0;4;7963,636364;0
FCV_1_26;;;;;30;2017 Honda Clarity;0;0;1;0;;;;;;494,27;0;;3;55;0;3;;0
FCV_1_27;30.06.2017 15:43;Jun 17;6;2017;42;2016 Toyota Mirai;1;1;0;0;325000;1,56;1;1;4;1095,08;50;91,78;2;55;0;3;15000;0
FCV_1_28;06.06.2017 12:02;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;125000;;1;1;3;;0;5,9;2;35;1;2;7500;0
FCV_1_29;;;;;3;2017 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_30;;;;;3;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_31;06.06.2017 12:02;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;;2,92;1;1;4;;0;27;2;65;0;2;8850;0
FCV_1_32;06.06.2017 13:29;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,81;0;1;3;389,91;3;42,81;2;55;0;1;11142,85714;0
FCV_1_33;06.06.2017 11:41;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;75000;2,53;0;0;3;369,29;1;5,8;3;55;1;2;9600;0
FCV_1_34;06.06.2017 11:42;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;425000;-3;1;1;3;134,94;0;2,41;5;45;0;5;8492,307692;0
FCV_1_35;07.06.2017 13:28;Jun 17;6;2017;42;2017 Toyota Mirai;1;0;0;0;125000;0,92;0;0;3;112,7;0;7,16;2;55;0;2;13246;0
FCV_1_36;06.06.2017 11:28;Jun 17;6;2017;42;2016 Toyota Mirai;;;;;;;;;;;;;;;;1;;0
FCV_1_37;06.06.2017 11:50;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;125000;2,91;1;0;2;1008,22;0;25,86;2;55;1;3;13008;0
FCV_1_38;06.06.2017 11:53;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;175000;2,69;1;1;4;426,14;0;0,73;4;45;0;2;7285,714286;0
FCV_1_39;;;;;;;;;;;;;;;;;;;;;;1;;
FCV_1_40;03.07.2017 17:38;Jul 17;7;2017;42;2016 Toyota Mirai;0;0;0;0;475000;2,81;1;1;4;149,24;1;12,89;2;45;1;3;6720;0
FCV_1_41;06.06.2017 12:53;Jun 17;6;2017;42;2016 Toyota Mirai;1;0;0;0;325000;2,81;1;0;4;362,67;1;20,37;3;45;1;2;15331,5;0
FCV_1_42;06.06.2017 12:36;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;500000;1,44;0;1;3;26,19;7;;2;65;0;1;10000;0
FCV_1_266;21.06.2017 13:17;Jun 17;6;2017;42;2015 Hyundai Tucson fuel cell;1;0;0;0;500000;2,04;1;1;4;72,16;0;47,79;4;45;0;2;16000;0
FCV_1_44;06.06.2017 12:51;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;1;0;;2,72;1;1;3;325,92;0;;2;;;2;5220;0
FCV_1_45;;;;;19;2016 Toyota Mirai;0;0;1;0;;;;;;;;;3;;1;2;;0
FCV_1_46;06.06.2017 13:42;Jun 17;6;2017;42;2016 Toyota Mirai;0;1;0;0;325000;2,68;1;1;4;;0;13,15;2;75;0;2;4920;0
FCV_1_47;06.06.2017 13:31;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;;2,78;1;1;4;377,5;0;24,36;2;65;0;4;10542,85714;0
FCV_1_48;06.06.2017 14:18;Jun 17;6;2017;42;2017 Toyota Mirai;0;0;0;0;175000;;1;1;4;79,1;0;12,14;2;55;0;3;14000;0
FCV_1_49;06.06.2017 14:04;Jun 17;6;2017;42;2016 Toyota Mirai;1;1;0;0;;2,32;1;1;4;138,73;1;;2;65;0;2;8160;0
FCV_1_50;26.06.2017 14:44;Jun 17;6;2017;42;2016 Toyota Mirai;0;0;0;0;75000;;0;0;2;252,37;0;26,8;5;35;1;4;14400;0
